county,sub_county,ward,facility_code,facility_name,keph_level,operation_status,lat,lon,available_chws,ward_population,vulnerability_score,under5_share,distance_to_level3_km,terrain_class,phc_access_1h_share,travel_friction_phc_1h,stunting_u5_pct,wasting_u5_pct,underweight_u5_pct,facility_delivery_pct,skilled_delivery_pct,anc4_pct,maternal_risk_index,hh_itn_ownership_pct,malaria_itn_gap_pct,ccri_malaria_pf_score,ccri_riverine_flood_score,ccri_drought_score,ccri_food_insecurity_score,ccri_child_nutrition_score,ccri_maternal_health_score,ccri_risk_index,flood_risk_flag,seasonal_mobility_flag,chw_monthly_stipend_kes,anc_skilled_pct,poverty_overall_pct,linked_chu_count,real_chw_headcount,adm2_match_level,adm2_pcode,adm2_name
MANDERA,mandera west,GITHER,23396.0,Gagaba Dispensary,Level 2,Operational,3.16894,40.0978592,2,12100,0.9,0.2104910595345934,213.769,arid,1.0,0.0,20.5,17.3,23.2,50.4,54.7,40.4,49.6,15.7,84.3,9.6,8.2,1.4,10.0,7.5,6.6,8.5,1.0,1,5000,76.4,72.9,0,,subcounty_exact,KE009039,Mandera West
SAMBURU,samburu east,WAMBA EAST,23345.0,Lengusaka Dispensary,Level 2,Operational,1.0679655,37.231326,2,10200,0.87,0.16415413643525453,13.9,arid,0.0025968215682079013,0.997403178431792,31.4,15.4,30.2,49.1,56.6,56.3,50.9,19.9,80.1,5.8,1.5,2.8,8.8,9.7,10.0,7.8,1.0,1,5000,92.9,71.9,0,,subcounty_exact,KE025135,Samburu East
KWALE,kinango,CHENGONI/SAMBURU,23312.0,Chanzou Dispensary,Level 2,Operational,-4.3959567,39.3108753,2,19800,0.8,0.16069809559414464,12.611,semi_arid,1.0,0.0,22.7,6.2,13.7,84.1,89.3,71.9,15.9,74.0,26.0,9.2,8.5,8.6,2.5,7.8,5.6,6.8,1.0,0,5000,99.3,,0,,subcounty_exact,KE002010,Kinango
SAMBURU,samburu east,WASO,23256.0,Laresoro Dispensary,Level 2,Operational,1.0679655,37.231326,2,10200,0.87,0.16415413643525453,13.9,arid,0.0025968215682079013,0.997403178431792,31.4,15.4,30.2,49.1,56.6,56.3,50.9,19.9,80.1,5.8,1.5,2.8,8.8,9.7,10.0,7.8,1.0,1,5000,92.9,71.9,0,,subcounty_exact,KE025135,Samburu East
MANDERA,mandera east,TOWNSHIP,23246.0,The Mandera Hospital,Level 4,Operational,3.9420918,41.8614143,6,45200,0.9,0.16136107711138312,0.0,arid,0.0,1.0,20.5,17.3,23.2,50.4,54.7,40.4,49.6,15.7,84.3,9.6,8.2,1.4,10.0,7.5,6.6,8.5,1.0,1,5000,76.4,72.9,0,,subcounty_exact,KE009043,Mandera East
KWALE,msambweni,UKUNDA,23231.0,Bakari Medical Clinic,Level 2,Operational,-4.2945303,39.5630696,2,28900,0.8,0.1214771089299197,5.753,semi_arid,1.0,0.0,22.7,6.2,13.7,84.1,89.3,71.9,15.9,74.0,26.0,9.2,8.5,8.6,2.5,7.8,5.6,6.8,1.0,0,5000,99.3,,0,,subcounty_exact,KE002007,Msambweni
KWALE,lunga lunga,MWERENI,23134.0,Mtumwa Dispensary,Level 2,Operational,-4.3959567,39.3108753,2,19800,0.8,0.15456647312342872,12.611,semi_arid,1.0,0.0,22.7,6.2,13.7,84.1,89.3,71.9,15.9,74.0,26.0,9.2,8.5,8.6,2.5,7.8,5.6,6.8,1.0,0,5000,99.3,,1,,subcounty_exact,KE002008,Lunga Lunga
KWALE,lunga lunga,PONGWE/KIKOKENI,23133.0,Vwivwini Dispensary,Level 2,Operational,-4.3959567,39.3108753,2,19800,0.8,0.15456647312342872,12.611,semi_arid,1.0,0.0,22.7,6.2,13.7,84.1,89.3,71.9,15.9,74.0,26.0,9.2,8.5,8.6,2.5,7.8,5.6,6.8,1.0,0,5000,99.3,,1,,subcounty_exact,KE002008,Lunga Lunga
KWALE,lunga lunga,PONGWE/KIKOKENI,23132.0,Pongwe/Kidimu Dispensary,Level 2,Operational,-4.3959567,39.3108753,2,19800,0.8,0.15456647312342872,12.611,semi_arid,1.0,0.0,22.7,6.2,13.7,84.1,89.3,71.9,15.9,74.0,26.0,9.2,8.5,8.6,2.5,7.8,5.6,6.8,1.0,0,5000,99.3,,0,,subcounty_exact,KE002008,Lunga Lunga
KWALE,lunga lunga,VANGA,23130.0,Afya Bora Medical Clinic,Level 2,Operational,-4.2945303,39.5630696,2,19800,0.8,0.15456647312342872,5.753,semi_arid,1.0,0.0,22.7,6.2,13.7,84.1,89.3,71.9,15.9,74.0,26.0,9.2,8.5,8.6,2.5,7.8,5.6,6.8,1.0,0,5000,99.3,,0,,subcounty_exact,KE002008,Lunga Lunga
KWALE,matuga,TSIMBA GOLINI,23129.0,Bilashaka Dispensary,Level 2,Operational,-4.3959567,39.3108753,2,19800,0.8,0.13139450546197343,12.611,semi_arid,1.0,0.0,22.7,6.2,13.7,84.1,89.3,71.9,15.9,74.0,26.0,9.2,8.5,8.6,2.5,7.8,5.6,6.8,1.0,0,5000,99.3,,0,,subcounty_exact,KE002009,Matuga
KWALE,matuga,MKONGANI,23127.0,Mbegani Dispensary,Level 2,Operational,-4.3562395,39.1871902,2,19800,0.8,0.13139450546197343,11.515,semi_arid,1.0,0.0,22.7,6.2,13.7,84.1,89.3,71.9,15.9,74.0,26.0,9.2,8.5,8.6,2.5,7.8,5.6,6.8,1.0,0,5000,99.3,,0,,subcounty_exact,KE002009,Matuga
KILIFI,magarini,MAGARINI,,Kijanaheri Medical Clinic (Marafa),Level 2,Operational,-2.8642006,40.1464021,2,24500,0.76,0.1430688616634187,3.956,semi_arid,1.0,0.0,37.0,7.2,19.5,83.8,84.5,77.3,16.2,74.4,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,1.0,0,5000,99.3,,0,,subcounty_exact,KE003017,Magarini
